Unit#	UnitType	BR	BA	SQFT	AskingPrice	SalePrice	ClosingDate	DaysOnMarket
103	A-1	2	2.00	1,260	$729,000	$735,000	08/15/14	59
38	A-2	2	2.00	1,814	$0	$900,000	08/13/14	N/A
65	B	2	2.00	1,410	$840,000	$835,000	03/14/14	290
26	A-2	2	2.00	1,445	$0	$750,000	02/07/14	N/A
125	A-1	2	2.00	1,260	$650,000	$650,000	10/18/13	47
71	A-1	2	2.00	1,260	$0	$680,000	10/11/13	N/A
138	C-1	3	3.00	1,634	$879,000	$980,000	09/25/13	40
28	C-2	3	3.00	1,876	$1,100,000	$1,050,000	09/10/13	64
45	B	2	2.00	1,449	$0	$840,000	08/23/13	N/A
24	C-1	3	3.00	1,634	$0	$958,000	08/20/13	N/A
53	C-1	3	3.00	1,658	$0	$890,000	05/21/13	N/A
109	C-1	3	3.00	1,634	$0	$846,000	04/30/13	N/A
111	A-1	2	2.00	1,260	$639,000	$645,000	04/25/13	80
46	C-1	3	3.00	1,634	$876,000	$876,000	12/20/12	42
63	C-1	3	3.00	1,847	$0	$865,000	06/12/12	N/A
70	D	4	3.50	2,000	$995,000	$975,000	06/05/12	46
44	B	2	2.00	1,410	$659,000	$659,000	03/29/12	346
55	B	2	2.00	1,769	$665,000	$653,000	02/09/12	259
72	A-2	2	2.00	1,456	$759,000	$710,000	09/20/11	76
106	B	2	2.00	1,410	$659,000	$650,000	08/16/11	132
15	A-1	2	2.00	1,260	$535,000	$535,000	08/09/11	102
91	D	4	3.50	2,138	$950,000	$950,000	07/14/11	164
29	C-2	4	3.00	1,960	$859,000	$849,000	05/19/11	48
121	A-1	2	2.00	1,260	$528,000	$520,000	02/17/11	171
13	B	2	2.00	1,431	$715,000	$650,000	02/11/11	563
96	B	2	2.00	1,636	$690,000	$665,000	01/28/11	127
137	A-1	2	2.00	1,260	$578,000	$568,000	11/17/10	55
47	A-1	2	2.00	1,210	$560,000	$530,000	08/06/10	149
54	B	2	2.00	1,410	$680,000	$680,000	04/02/10	73
138	C-1	3	3.00	1,675	$865,000	$810,000	09/25/09	59
31	A-1	2	2.00	1,238	$549,000	$542,000	09/22/09	54
20	A-2	2	2.00	1,422	$770,000	$705,000	07/31/09	66
99	A-1	2	2.00	1,260	$575,000	$570,000	07/10/09	73
87	B	2	2.00	1,428	$700,000	$693,000	05/29/09	63
89	A-1	2	2.00	1,350	$575,000	$575,000	03/30/09	73
114	A-2	2	2.00	1,445	$0	$690,000	02/26/09	N/A
12	B	3	2.00	1,635	$745,000	$720,000	10/31/08	57
53	C-1	3	3.00	1,634	$0	$840,000	09/03/08	N/A
21	C-1	3	3.00	1,753	$799,000	$810,000	08/21/08	58
113	C-2	3	3.00	1,876	$918,000	$929,000	08/15/08	80
74	B	3	2.00	1,660	$785,000	$785,000	07/31/08	118
79	A-1	2	2.00	1,260	$556,000	$522,500	04/30/08	281
94	A-2	2	2.00	1,422	$650,000	$665,000	01/17/08	77
59	D	4	3.50	2,000	$968,000	$900,000	12/19/07	189
71	A-1	2	2.00	1,260	$575,000	$545,000	12/19/07	124
95	C-1	3	3.00	1,634	$775,000	$775,000	09/14/07	113
117	C-1	3	3.00	1,634	$740,000	$723,000	08/17/07	80
83	A-1	2	2.00	1,260	$537,000	$556,000	07/27/07	73
105	C-1	3	3.00	1,750	$775,000	$800,000	07/12/07	48
63	C-1	3	3.00	1,753	$725,000	$725,000	06/20/07	84
87	B	2	2.00	1,410	$620,000	$662,000	06/15/07	49
10	C-1	3	3.00	1,634	$0	$710,000	06/05/07	N/A
73	C-1	3	3.00	1,634	$675,000	$718,000	05/03/07	99
26	A-2	2	2.00	1,422	$625,000	$625,000	04/17/07	172
9	A-1	2	2.00	1,260	$499,000	$530,000	03/29/07	56
43	C-1	3	3.00	1,634	$665,000	$670,000	02/28/07	40
